"Player Name","Team Name","Jersey Number",Position,"Is Player","Contact 1 Name","Contact 1 Relationship","Contact 1 Email","Contact 1 Phone","Contact 2 Name","Contact 2 Relationship","Contact 2 Email","Contact 2 Phone","Contact 3 Name","Contact 3 Relationship","Contact 3 Email","Contact 3 Phone"
"Aaarav Patel",India,,"184cm 78kg",Yes,"Aaarav Patel",Player,benjamin.davis@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abdi Abdu","South Africa",,,"202cm 115kg",Yes,"Abdi Abdu",Player,kagiso.nkosi@gmail.com,,"Jessica Harris",Other,ojohnson@pitts.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abel Kiran",India,,"190cm 91kg",Yes,"Abel Kiran",Player,benjamin.brown@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam  Jemal",Australia,,"170cm 55kg",Yes,"Adam  Jemal",Player,,,"Adam Jemal",Other,johnnyabbott1@outlook.com,,"Ved Suthar",Friend,vedsuthar1234@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Lopez","Australia 2",,,Yes,"Alexander Lopez",Player,alexander.lopez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexander Miller",England,,,,Yes,"Alexander Miller",Player,alexander.miller@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aoi Sato",Japan,,,,Yes,"Aoi Sato",Player,aoi.sato@gmail.com,,"John Carter",Other,brittanymiller@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ben Botic",Australia,,"178cm 60kg",Yes,"Ben Botic",Player,,,"Adam Jemal",Other,johnnyabbott1@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Davis","Australia 2",,,Yes,"Benjamin Davis",Player,benjamin.davis@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Fitzgerald",Australia,,"Assistant Coach",No,"Benjamin Fitzgerald",Player,johnnyabbott1@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Jones",England,,,,Yes,"Benjamin Jones",Player,benjamin.jones@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Benjamin Lopez",France,,,,Yes,"Benjamin Lopez",Player,benjamin.lopez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bhav Sharma",India,,"187cm 70kg",Yes,"Bhav Sharma",Player,alexander.brown@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brock Martin","New Zealand",,,Yes,"Brock Martin",Player,isla.smith@yahoo.com,,"Kimberly Figueroa",Other,scott92@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bruno Fernández",Argentina,,,,Yes,"Bruno Fernández",Player,lucas.hall@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corey Bradler",Australia,,"Assistant Coach",No,"Corey Bradler",Player,coreybradler@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dwayne Smith",Jamaica,,"194cm 95kg",Yes,"Dwayne Smith",Player,dwayne.smith@gmail.com,,"Steven Henderson",Other,perrycory@navarro.info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dwayne Thompson",Jamaica,,"186cm 87kg",Yes,"Dwayne Thompson",Player,dwayne.thompson@yahoo.com,,"Amanda Calhoun",Other,christian11@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franco Delgado",Argentina,,,,Yes,"Franco Delgado",Player,mason.brown@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haruto Watanabe",Japan,,,,Yes,"Haruto Watanabe",Player,haruto.watanabe@gmail.com,,"Mark Walsh",Other,aortiz@valenzuela.info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
